text,date,sentiment
"hii! lf kasama sa solfest pls :(( my friends are not sure kasi if they’ll attend e i already secured my ticket na (gen ad)?? if you’re looking for kasama or maaampon sa group niyo pls pasabit po ako PLS. mabait aq promise!! 
btw, IM NOT FROM UD HA. FROM RED SCHOOL AKO PERO PROMISE DI AKO NANG-AAWAY NAKIKITAWA NGA LANG AKO NUNG MAY BEEF SCHOOL KO AND UD E!!
preferably from the same age group ko lang din sana para hindi awkward???? im 19, F. thank youuuu ??",3/3/24,
DENISE JULIA FOR SOLFEST OR FLAIR PLEASE LOOK LIKE YOU HAVE PITY,3/4/24,
"I just confessed to my crush during SOLFEST 2024 na I like him. Also, I don’t mind if he rejects me or not pero ayun wala siyang sagot. So, expected ko na rejected me, then all of a sudden, Nag tanong siya na “huh? Ano yun?” HAYU* DI PALA NAKIKINIG SA SINASABI KO HAHAHAHAHA BUSY KASI SIYA KAY MOTHER DENISE I THINK PANGET TIMING. Right? But tbh din Denise was so beautiful like nakaka bakla siya mga ate. Ayun, back to him. He still rejected me pero ok na yun, after the concert nag dinner kami ng dalawa lang. and hinatid niya rin ako sa house namin, since commute lang naman ako and delikado na bumiyahe ng ganung oras so he initiated that night. I got shocked na after I confessed mas naging gentleman siya. That’s all for today.",3/5/24,
"My biggest takeaway from CEAT SG's Solfest is the lack of accountability. They didn’t even release a statement apologizing for the inconveniences they caused or reply to some comments and concerns. CEAT SG, remember that this event wasn’t only for the students of lasalle, you opened this to the public, and tickets were expensive so OBVIOUSLY EXPECTATIONS WERE HIGH! The way you handled your event was so unprofessional, tapos kunwari unbothered kayo?
Solfest was complete chaos. Imagine selling your tickets before the lineup was even released?! Selling VVIP Seated Tickets while having no concrete plan about how you would execute the VVIP Sections? The number of VVIP seats reached such a high because you kept accepting registrations without limitation!
Everything was released last minute—the seat plan, the full lineup, everything! It was only convenient for all the CEAT SG members, their families, and friends, who didn’t pay for anything but had better view than those who paid.
Bottom line, CEAT SG is a group of students who are unprofessional in their work and do not take action or accountability for people’s concerns. Up until now, from before the event to the day it happened, all you have caused is stress, inconvenience, and we have not received any apology.",3/6/24,
disappointed with solfest’s choice sa host. Why give a platform for a problematic girlie? ,3/7/24,
Hi po! Saan po pwede magtanong sa mga nawalang gamit nung SolFest?,3/8/24,
anong org po yung nag hahandle ng mga concerts??,3/9/24,
"SOLID NG SOLFEST 2024 kagabi!!!! 
GRABE SOBRANG GANDA NG SET UP, kitang kita lahat. Sana ganito din sa flair next year. 
Nakakainlove lahat ng artits walang tapon!!! 
ANG TINDI NG NAKAISP NG PROJECT NITO!!!
Gawin mo nang YEARLY.  yung patindi ng patindi..",3/10/24,
"wow, zild is so good, legit I don't listen to him but he's one of the best performers I've watched in ud as someone who watched solfest, flair, juanderland, and kts last year",3/11/24,
"Grabe yung 2 tall guys nung solfest, nasa gen ad lang sila tapos nakapasok ng vip standing. Ang malala pumasok pa talaga sila ng VVIP na seated ?? kapal niyo naman, tsaka bat di ganun kahigpit yung nagbabantay?",3/12/24,
